return-average,epoch
68.6136604827,628
46.1424174806,629
66.7244285768,630
1653.7242401628,631
369.6711093408,632
914.1187674259,633
18.6698256093,634
3079.5110443349,635
1841.62806664,636
909.8488020569,637
2480.7145798927,638
3018.3637797566,639
2742.3854674108,640
625.8230311501,641
3304.2305843039,642
2009.973228057,643
313.6906991111,644
246.5342345836,645
2491.35728518,646
2753.3838197877,647
2948.7566474795,648
3260.913086974,649
862.6916260901,650
693.2974539335,651
834.3119253617,652
2372.6667193647,653
2012.0209976065,654
193.8978620962,655
1553.7300098096,656
3281.7424173648,657
1080.5706539228,658
611.2262164723,659
1052.4280318864,660
237.2756214513,661
763.0298328319,662
2163.2661492306,663
3082.336467151,664
2923.0607831575,665
145.5237023889,666
1432.4309327293,667
856.913987753,668
3244.1453234608,669
949.7613704756,670
2793.6450255499,671
1915.1365902808,672
2782.6475051565,673
1735.0997169917,674
409.5334650613,675
1984.0451055687,676
1708.2440506357,677
1391.9987568116,678
204.8134336728,679
608.4821144734,680
2673.9818555544,681
1146.6844300118,682
1877.1328079805,683
1726.7268287218,684
1339.9523995556,685
1950.4952500647,686
627.7507671366,687
2438.4695299037,688
1857.1397574199,689
3401.9280906318,690
316.9273405136,691
1515.292288325,692
800.3687142672,693
3510.6835357635,694
2185.9113729565,695
1361.1296733153,696
396.1377878284,697
151.8782259008,698
417.0958994429,699
429.1536378227,700
888.2557237405,701
2438.2329564948,702
1327.4078353662,703
237.9317874907,704
2273.7367003678,705
137.8715628689,706
3146.7273799237,707
2850.5719846408,708
661.3236815486,709
3816.7078298634,710
346.8353847102,711
1602.9141841512,712
2748.4199244769,713
1361.1654204484,714
2647.763544626,715
2352.5950269262,716
110.1778446769,717
1526.2983042457,718
1187.2410649835,719
3276.398731395,720
1752.6083708738,721
154.318410053,722
3005.276176561,723
270.7477077036,724
535.2994862256,725
2520.6701242518,726
2484.3965524704,727
807.8647726711,728
2110.220690285,729
3454.8109129487,730
1766.477348371,731
1085.6595414721,732
683.6352362798,733
2775.951236632,734
3257.6068692682,735
2899.4236023463,736
422.2487092243,737
3164.2080378479,738
1207.9649052816,739
221.6351144722,740
3056.2054149343,741
276.8715098017,742
1904.6847674463,743
383.0750757309,744
957.8184105811,745
1977.6306575027,746
1298.7809902716,747
2545.4590514186,748
3174.8255974293,749
2632.407867597,750
1606.7703738477,751
79.3567024546,752
906.4187453779,753
2753.5009243774,754
1933.465516757,755
988.0031518819,756
1546.5284037623,757
498.2161117949,758
718.9695553221,759
1865.0372189564,760
372.4807095797,761
237.8226842813,762
864.7941376809,763
1660.0916705021,764
918.51139857,765
2231.2008144769,766
3810.0094838129,767
1310.6276053257,768
2660.7545891761,769
588.5637653481,770
2605.8903884404,771
3257.1473090728,772
1984.3888586506,773
3592.8810436121,774
994.687474299,775
1923.5832830103,776
2540.2104933976,777
611.0296595208,778
356.8129666381,779
1540.8160089228,780
3104.1191937475,781
6.0751728518,782
3435.3616747172,783
172.3260858158,784
1533.8038162622,785
599.4871652929,786
778.5720725637,787
2708.0722942827,788
3271.3707151175,789
1679.9717078301,790
1635.4978140415,791
2955.5783271896,792
3119.2706250184,793
141.6707123448,794
3386.0862351007,795
691.9567860298,796
2442.2072787058,797
1452.0837698193,798
331.0463251982,799
758.2896047728,800
204.6005046686,801
1073.8726111223,802
2900.9891370254,803
588.5870585255,804
2473.2034109992,805
2597.6881269905,806
2173.8882334256,807
3052.3395403355,808
3032.7460165055,809
2467.9147796941,810
1856.7174554571,811
158.0325849323,812
2952.868035874,813
1267.3393036811,814
366.7732419814,815
2721.2637988616,816
603.031254001,817
1978.6118565968,818
1825.7532967969,819
